                               Satellite Present           No Satellite
    Bin#       W at           W_CCMP_RT - W_Buoy          W_CCMP_RT - W_Buoy
	         Bin Center      Bias         Stddev          Bias         Stddev           
       0       0.250         0.000         0.486         0.224         0.554  
       1       0.750        -0.214         0.684        -0.064         0.763  
       2       1.250        -0.164         0.880        -0.128         0.971  
       3       1.750        -0.123         1.032        -0.093         1.183  
       4       2.250        -0.101         1.094        -0.085         1.331  
       5       2.750        -0.072         1.131        -0.028         1.493  
       6       3.250        -0.076         1.138        -0.026         1.571  
       7       3.750        -0.070         1.144        -0.056         1.584  
       8       4.250        -0.074         1.143        -0.110         1.607  
       9       4.750        -0.118         1.115        -0.135         1.639  
      10       5.250        -0.146         1.085        -0.145         1.542  
      11       5.750        -0.155         1.090        -0.215         1.564  
      12       6.250        -0.159         1.072        -0.253         1.524  
      13       6.750        -0.142         1.042        -0.248         1.457  
      14       7.250        -0.149         1.007        -0.249         1.482  
      15       7.750        -0.096         1.024        -0.270         1.440  
      16       8.250        -0.079         0.992        -0.260         1.418  
      17       8.750        -0.076         1.010        -0.242         1.413  
      18       9.250        -0.084         1.029        -0.287         1.374  
      19       9.750        -0.108         1.038        -0.302         1.511  
      20      10.250        -0.137         1.056        -0.349         1.501  
      21      10.750        -0.143         1.095        -0.399         1.494  
      22      11.250        -0.138         1.146        -0.402         1.637  
      23      11.750        -0.138         1.228        -0.410         1.583  
      24      12.250        -0.140         1.291        -0.458         1.612  
      25      12.750        -0.007         1.318        -0.381         1.803  
      26      13.250         0.057         1.324        -0.337         1.692  
      27      13.750         0.046         1.395        -0.358         1.610  
      28      14.250         0.089         1.426        -0.240         1.779  
      29      14.750         0.365         1.460        -0.309         1.738  
      30      15.250         0.385         1.454        -0.228         1.842  
      31      15.750         0.513         1.406         0.068         1.666  
      32      16.250         0.612         1.694        -0.053         1.723  
      33      16.750         0.763         1.536         0.070         1.843  
      34      17.250         0.994         1.847         0.086         1.937  
      35      17.750         0.933         1.676        -0.011         1.926  
      36      18.250         1.117         2.895         0.243         2.325  
      37      18.750         1.359         1.694         0.178         1.716  
      38      19.250         1.020         1.938        -0.191         1.829  
      39      19.750         2.080         1.711         0.383         2.316  
      40      20.250         1.667         1.979         0.670         2.080  
      41      20.750         2.395         2.250         1.059         2.997  
      42      21.250         2.297         2.054         1.089         2.569  
      43      21.750         1.847         2.447         0.391         2.652  
      44      22.250           NaN           NaN         1.651         2.058  
